,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1030307,2340808,215354,-5,55493.28,450000,0.0,1368.0,0.0,1368.0,18839.97,342000.0,321018.57,50628.285,55493.28,55493.28,0.0,1,0.0,1.0,23.0,Active,0,0
1337695,2340808,215354,-12,333206.325,450000,0.0,0.0,0.0,0.0,18057.51,48150.0,30702.915,327791.25,335796.615,335796.615,0.0,0,0.0,0.0,16.0,Active,0,0
1563720,2340808,215354,-30,0.0,450000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,Active,0,0
1624960,2340808,215354,-17,397556.82,450000,171000.0,171000.0,0.0,0.0,18056.07,180000.0,180000.0,375970.95,394865.82,394865.82,2.0,2,0.0,0.0,11.0,Active,0,0
1766805,2340808,215354,-18,391927.32,450000,248850.0,249974.145,0.0,1124.145,6591.42,6750.0,6750.0,373844.43,387890.82,387890.82,3.0,4,0.0,1.0,10.0,Active,0,0
1786354,2340808,215354,-27,91814.76,450000,76500.0,101104.74,0.0,24604.74,1345.5,65029.5,62779.5,89601.57,90469.26,90469.26,2.0,10,0.0,8.0,1.0,Active,0,0
2030170,2340808,215354,-8,294434.955,450000,27000.0,117000.0,0.0,90000.0,15947.64,155700.0,155700.0,280771.56,291135.42,291135.42,1.0,2,0.0,1.0,20.0,Active,0,0
2062452,2340808,215354,-6,409706.73,450000,45000.0,47250.0,0.0,2250.0,18948.375,37849.5,19009.53,402899.355,408361.23,408361.23,1.0,2,0.0,1.0,22.0,Active,0,0
2083013,2340808,215354,-11,347243.85,450000,0.0,2020.5,0.0,2020.5,17447.085,0.0,0.0,329811.75,347243.85,347243.85,0.0,1,0.0,1.0,17.0,Active,0,0
2102982,2340808,215354,-26,176942.115,450000,132750.0,187372.89,0.0,54622.89,2250.0,112500.0,112500.0,164474.46,168869.115,168869.115,6.0,21,0.0,15.0,2.0,Active,0,0
2264373,2340808,215354,-4,130543.65,450000,45000.0,48150.0,0.0,3150.0,20981.43,4500.0,133.065,125778.285,129198.15,129198.15,1.0,2,0.0,1.0,24.0,Active,0,0
2309902,2340808,215354,-16,393116.76,450000,0.0,0.0,0.0,0.0,16139.7,18000.0,18000.0,372293.595,393116.76,393116.76,0.0,0,0.0,0.0,12.0,Active,0,0
2606963,2340808,215354,-28,45708.255,450000,45000.0,45000.0,0.0,0.0,,2025.0,679.5,44320.5,44362.755,44362.755,1.0,1,0.0,0.0,,Active,0,0
2636192,2340808,215354,-13,368671.5,450000,0.0,2250.0,0.0,2250.0,18802.08,0.0,0.0,350392.005,368671.5,368671.5,0.0,1,0.0,1.0,15.0,Active,0,0
2768609,2340808,215354,-9,324466.38,450000,0.0,519.12,0.0,519.12,16252.92,17775.0,17775.0,307802.79,322100.28,322100.28,0.0,1,0.0,1.0,19.0,Active,0,0
2866689,2340808,215354,-1,401144.985,450000,0.0,0.0,0.0,0.0,20061.315,20250.0,20250.0,380975.85,398211.48,398211.48,0.0,0,0.0,0.0,27.0,Active,0,0
2898718,2340808,215354,-15,388648.53,450000,0.0,1349.685,0.0,1349.685,19371.06,19575.0,19575.0,369195.885,388648.53,388648.53,0.0,1,0.0,1.0,13.0,Active,0,0
3522419,2340808,215354,-23,157989.78,450000,0.0,6163.425,0.0,6163.425,6887.025,0.0,0.0,150904.26,157989.78,157989.78,0.0,3,0.0,3.0,5.0,Active,0,0
3555301,2340808,215354,-10,330098.625,450000,0.0,1350.0,0.0,1350.0,17010.45,30150.0,30150.0,313429.095,327685.23,327685.23,0.0,1,0.0,1.0,18.0,Active,0,0
3767881,2340808,215354,-14,353805.975,450000,0.0,3600.0,0.0,3600.0,19065.96,51750.0,32947.92,348142.005,356596.605,356596.605,0.0,2,0.0,2.0,14.0,Active,0,0
