,SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
6413556,2340808,215354,0.0,54,-115.0,-125.0,4366.935,4366.935
6427924,2340808,215354,0.0,53,-154.0,-154.0,315000.0,315000.0
6430328,2340808,215354,0.0,37,-363.0,-363.0,3702.915,3702.915
6486605,2829838,215354,1.0,5,-767.0,-768.0,51081.75,51081.75
6488329,2829838,215354,1.0,8,-677.0,-740.0,51081.75,51081.75
6566507,2829838,215354,3.0,29,-47.0,-46.0,11729.25,11729.25
6724212,1927804,215354,1.0,5,-113.0,-122.0,12750.75,12750.75
6783826,2340808,215354,0.0,5,-815.0,-834.0,2250.0,2250.0
6811643,2340808,215354,0.0,48,-209.0,-209.0,1.125,1.125
6816082,2829838,215354,3.0,21,-287.0,-307.0,11729.25,11729.25
6864478,2829838,215354,3.0,26,-137.0,-133.0,11729.25,3957.84
6896661,2340808,215354,0.0,42,-266.0,-265.0,15947.64,15947.64
6902485,2340808,215354,0.0,40,-297.0,-294.0,16252.92,14175.0
6937980,2829838,215354,3.0,14,-497.0,-497.0,11729.25,11729.25
6955114,1130982,215354,1.0,4,-224.0,-234.0,25817.895,25817.895
6956984,2340808,215354,0.0,26,-511.0,-510.0,16139.7,16139.7
6992890,2340808,215354,0.0,6,-834.0,-834.0,3604.5,3604.5
6995847,2829838,215354,3.0,15,-467.0,-467.0,11729.25,11729.25
7034729,2340808,215354,0.0,38,-327.0,-328.0,17010.45,17010.45
7069297,2340808,215354,0.0,15,-692.0,-692.0,0.99,0.99
7134235,2340808,215354,0.0,18,-631.0,-632.0,21670.92,21670.92
7168483,2340808,215354,0.0,52,-165.0,-165.0,6018.57,6018.57
7241501,2340808,215354,0.0,36,-358.0,-363.0,17447.085,17447.085
7290792,2829838,215354,1.0,1,-887.0,-898.0,51081.75,51081.75
7369722,2829838,215354,3.0,26,-137.0,-164.0,11729.25,7771.41
7386787,2340808,215354,0.0,35,-385.0,-385.0,8942.49,8942.49
7445033,2829838,215354,3.0,25,-167.0,-191.0,11729.25,751.41
7464412,2340808,215354,0.0,8,-784.0,-786.0,4824.27,4824.27
7526651,2340808,215354,0.0,43,-265.0,-265.0,252.36,252.36
7541799,2340808,215354,0.0,57,-94.0,-94.0,2040.435,2040.435
7547518,2340808,215354,0.0,12,-723.0,-732.0,6887.025,6887.025
7559826,2340808,215354,0.0,45,-235.0,-237.0,13186.17,13186.17
7584543,1362380,215354,1.0,6,-2398.0,-2477.0,5384.295,5384.295
7608028,2340808,215354,0.0,50,-191.0,-191.0,60.03,60.03
