,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
72618,2833536,100067,-6,43204.545,45000,0.0,0.0,0.0,0.0,2250.0,4500.0,4500.0,41829.885,43204.545,43204.545,0.0,0,0.0,0.0,60.0,Active,0,0
72782,2444847,100090,-6,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
75798,2038692,100013,-6,0.0,45000,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
82822,1595956,100100,-34,69130.665,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,66705.075,69130.665,69130.665,0.0,0,0.0,0.0,51.0,Active,0,0
96968,2444847,100090,-20,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
99333,2833536,100067,-75,29414.115,45000,0.0,0.0,0.0,0.0,2250.0,9000.0,9000.0,28210.41,29414.115,29414.115,0.0,0,0.0,0.0,11.0,Active,0,0
105689,1472630,100047,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
106083,2628319,100082,-35,0.0,135000,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
113042,2628319,100082,-51,245.61,135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.61,245.61,0.0,0,0.0,0.0,30.0,Active,213,0
117720,1787234,100059,-11,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
118518,1595956,100100,-57,56835.36,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,54600.075,56835.36,56835.36,0.0,0,0.0,0.0,37.0,Active,0,0
120279,1595956,100100,-41,53438.985,90000,0.0,0.0,0.0,0.0,4500.0,45000.0,45000.0,51182.91,53438.985,53438.985,0.0,0,0.0,0.0,44.0,Active,0,0
126396,2137382,100042,-39,0.0,90000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
131403,1060558,100048,-18,146181.015,225000,0.0,0.0,0.0,0.0,8012.61,9000.0,9000.0,142251.795,147500.73,147500.73,0.0,0,0.0,0.0,12.0,Active,0,0
131693,1843384,100011,-6,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
133666,1595956,100100,-64,66297.24,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,63852.84,66297.24,66297.24,0.0,0,0.0,0.0,30.0,Active,0,0
135149,2137382,100042,-66,4078.8,90000,40500.0,40500.0,0.0,0.0,4500.0,87975.0,87975.0,0.0,0.0,0.0,3.0,3,0.0,0.0,18.0,Active,0,0
138530,2038692,100013,-44,0.0,157500,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
141708,2038692,100013,-69,105786.36,157500,0.0,0.0,0.0,0.0,7875.0,0.0,0.0,97686.585,105786.36,105786.36,0.0,0,0.0,0.0,15.0,Active,1,1
143392,1595956,100100,-90,45679.5,90000,45000.0,45000.0,0.0,0.0,4500.0,55935.0,55935.0,44329.5,45679.5,45679.5,2.0,2,0.0,0.0,4.0,Active,0,0
153898,1843384,100011,-54,104130.63,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,99744.615,104130.63,104130.63,0.0,0,0.0,0.0,21.0,Active,0,0
154187,2137382,100042,-61,87096.15,90000,4500.0,4500.0,0.0,0.0,4500.0,9000.0,9000.0,83303.865,87096.15,87096.15,1.0,1,0.0,0.0,23.0,Active,0,0
159679,1595956,100100,-50,0.0,90000,0.0,0.0,0.0,0.0,0.0,320.13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,43.0,Active,0,0
161446,1557583,100043,-9,0.0,45000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
161681,2137382,100042,-27,0.0,90000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
162455,2444847,100090,-16,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
168008,1209367,100049,-9,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
171273,1843384,100011,-18,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
173337,2628319,100082,-2,0.0,0,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
177010,1209367,100049,-12,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
184429,1843384,100011,-43,804.195,180000,0.0,0.0,0.0,0.0,9000.0,55485.0,55485.0,0.0,-563.355,-563.355,0.0,0,0.0,0.0,32.0,Active,0,0
187176,1843384,100011,-65,151067.115,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,145960.74,151067.115,151067.115,0.0,0,0.0,0.0,10.0,Active,0,0
196131,2621538,100036,-9,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
199422,2137382,100042,-76,72855.0,90000,0.0,0.0,0.0,0.0,4500.0,13275.0,13275.0,70293.51,72855.0,72855.0,0.0,0,0.0,0.0,8.0,Active,0,0
210553,1914954,100028,-38,6330.06,225000,0.0,6153.975,0.0,6153.975,175.23,225.0,225.0,5974.56,6330.06,6330.06,0.0,3,0.0,3.0,5.0,Active,0,0
211648,1595956,100100,-42,96182.91,90000,90000.0,90000.0,0.0,0.0,0.0,320.13,0.0,89679.87,96182.91,96182.91,2.0,2,0.0,0.0,43.0,Active,0,0
219318,1595956,100100,-74,87399.9,90000,30600.0,30600.0,0.0,0.0,4500.0,6750.0,6750.0,83683.665,87399.9,87399.9,1.0,1,0.0,0.0,20.0,Active,0,0
223909,1595956,100100,-86,67940.19,90000,4500.0,4500.0,0.0,0.0,4500.0,9000.0,9000.0,65317.41,67940.19,67940.19,1.0,1,0.0,0.0,8.0,Active,0,0
234045,1843384,100011,-14,0.0,90000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
234519,1914954,100028,-22,150.3,225000,0.0,9013.5,0.0,9013.5,7431.3,12150.0,7650.0,150.3,505.8,505.8,0.0,3,0.0,3.0,19.0,Active,0,0
238653,2444847,100090,-24,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
242179,2628319,100082,-65,0.0,135000,0.0,0.0,0.0,0.0,0.0,1575.0,1575.0,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,Active,0,0
243810,1595956,100100,-11,0.0,45000,0.0,0.0,0.0,0.0,0.0,483.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58.0,Active,0,0
245716,1595956,100100,-69,83724.075,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,81094.275,83724.075,83724.075,0.0,0,0.0,0.0,25.0,Active,0,0
246504,1852787,100066,-4,0.0,9000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
248262,1794209,100050,-2,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
248671,1472630,100047,-18,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
265118,2137382,100042,-52,80345.52,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,77679.945,80345.52,80345.52,0.0,0,0.0,0.0,32.0,Active,0,0
269113,1472630,100047,-22,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
269474,1565121,100083,-23,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
274344,2038692,100013,-83,154471.095,157500,148500.0,148500.0,0.0,0.0,0.0,2522.205,0.0,145977.795,154471.095,154471.095,4.0,4,0.0,0.0,6.0,Active,0,0
274988,2833536,100067,-84,44442.315,45000,0.0,0.0,0.0,0.0,2250.0,4500.0,4500.0,43082.1,44442.315,44442.315,0.0,0,0.0,0.0,2.0,Active,0,0
280981,2628319,100082,-79,15395.085,135000,0.0,0.0,0.0,0.0,6750.0,22500.0,22500.0,12987.495,15395.085,15395.085,0.0,0,0.0,0.0,9.0,Active,0,0
283711,2628319,100082,-26,0.0,135000,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
286504,2833536,100067,-30,0.0,45000,0.0,0.0,0.0,0.0,0.0,168.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,Active,0,0
305719,1856124,100086,-80,114419.61,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,110072.925,114419.61,114419.61,0.0,0,0.0,0.0,1.0,Active,0,0
305778,2628319,100082,-81,55036.035,135000,0.0,0.0,0.0,0.0,6750.0,22500.0,22500.0,51639.885,55036.035,55036.035,0.0,0,0.0,0.0,7.0,Active,0,0
311313,1060558,100048,-9,0.0,225000,0.0,0.0,0.0,0.0,0.0,1458.27,1458.27,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,Active,0,0
320425,2444847,100090,-18,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
324610,1565121,100083,-15,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
325610,1595956,100100,-88,71457.84,90000,22500.0,22500.0,0.0,0.0,4500.0,4500.0,4500.0,68179.5,71457.84,71457.84,1.0,1,0.0,0.0,6.0,Active,0,0
327019,2137382,100042,-34,0.0,90000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
335244,1472630,100047,-8,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
341861,1852787,100066,-11,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
342890,2038692,100013,-79,132620.94,157500,0.0,0.0,0.0,0.0,7875.0,9000.0,9000.0,128260.845,132620.94,132620.94,0.0,0,0.0,0.0,10.0,Active,0,0
346048,2833536,100067,-17,46045.8,45000,0.0,3975.75,0.0,3975.75,2250.0,2250.0,2250.0,44705.52,46045.8,46045.8,0.0,1,0.0,1.0,49.0,Active,0,0
359178,1060558,100048,-3,0.0,225000,0.0,0.0,0.0,0.0,0.0,1458.27,1458.27,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,Active,0,0
361098,2444847,100090,-8,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
366842,2833536,100067,-62,36939.555,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,35631.27,36939.555,36939.555,0.0,0,0.0,0.0,24.0,Active,0,0
376952,2137382,100042,-59,89112.33,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,86406.525,89112.33,89112.33,0.0,0,0.0,0.0,25.0,Active,0,0
378444,1557583,100043,-19,349441.65,427500,0.0,0.0,0.0,0.0,18912.24,22050.0,3761.325,343723.32,349441.65,349441.65,0.0,0,0.0,0.0,13.0,Active,0,0
378853,1856124,100086,-76,115909.605,112500,0.0,0.0,0.0,0.0,5625.0,0.0,0.0,107476.065,116016.93,116124.255,0.0,0,0.0,0.0,5.0,Active,1,1
379024,2833536,100067,-86,43325.1,45000,44100.0,44100.0,0.0,0.0,,2250.0,2250.0,41850.0,43325.1,43325.1,2.0,2,0.0,0.0,,Active,0,0
379348,2628319,100082,-77,122548.365,135000,67500.0,67500.0,0.0,0.0,6750.0,6750.0,6750.0,117149.31,122548.365,122548.365,2.0,2,0.0,0.0,11.0,Active,0,0
382272,2038692,100013,-67,59160.285,157500,0.0,0.0,0.0,0.0,7875.0,22500.0,22500.0,55638.135,59160.285,59160.285,0.0,0,0.0,0.0,17.0,Active,0,0
382794,2628319,100082,-28,0.0,135000,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
383743,1595956,100100,-87,69399.135,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,66957.84,69399.135,69399.135,0.0,0,0.0,0.0,7.0,Active,0,0
385194,1843384,100011,-24,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
385433,1595956,100100,-70,90094.275,90000,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,84774.33,90094.275,90094.275,0.0,0,0.0,0.0,24.0,Active,1,1
388643,1843384,100011,-30,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
391265,1914954,100028,-48,0.0,225000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
405727,1843384,100011,-58,122180.265,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,117455.04,122180.265,122180.265,0.0,0,0.0,0.0,17.0,Active,0,0
416303,2444847,100090,-19,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
418475,1856124,100086,-69,97170.975,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,93294.0,97170.975,97170.975,0.0,0,0.0,0.0,12.0,Active,0,0
422138,2137382,100042,-56,83433.105,90000,0.0,2950.65,0.0,2950.65,4500.0,9000.0,9000.0,80812.8,83433.105,83433.105,0.0,1,0.0,1.0,28.0,Active,0,0
426081,1557583,100043,-29,382336.92,427500,0.0,0.0,0.0,0.0,20493.225,22500.0,2572.11,376057.575,382336.92,382336.92,0.0,0,0.0,0.0,3.0,Active,0,0
437515,2137382,100042,-6,0.0,45000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
440328,1060558,100048,-27,85617.27,225000,0.0,0.0,0.0,0.0,4610.34,4950.0,4950.0,82306.98,86429.385,86429.385,0.0,0,0.0,0.0,3.0,Active,0,0
440868,1914954,100028,-32,6576.435,225000,0.0,2280.96,0.0,2280.96,11250.0,11250.0,11250.0,5843.115,6576.435,6576.435,0.0,2,0.0,2.0,11.0,Active,0,0
442661,1472630,100047,-15,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
443494,1565121,100083,-10,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
448718,2137382,100042,-26,0.0,90000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
450959,1595956,100100,-43,0.0,90000,0.0,0.0,0.0,0.0,0.0,320.13,0.0,0.0,-320.13,-320.13,0.0,0,0.0,0.0,43.0,Active,0,0
452915,1914954,100028,-29,2183.58,225000,0.0,2352.285,0.0,2352.285,0.0,168.705,168.705,2183.58,2183.58,2183.58,0.0,1,0.0,1.0,13.0,Active,0,0
454189,2038692,100013,-55,0.0,157500,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
454786,2444847,100090,-13,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
460993,1595956,100100,-8,0.0,45000,0.0,0.0,0.0,0.0,0.0,483.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58.0,Active,0,0
461087,1060558,100048,-8,0.0,225000,0.0,0.0,0.0,0.0,0.0,1458.27,1458.27,0.0,0.0,0.0,0.0,0,0.0,0.0,17.0,Active,0,0
470697,1914954,100028,-33,14812.155,225000,0.0,7451.73,0.0,7451.73,7198.425,7200.0,7200.0,14456.655,14812.155,14812.155,0.0,2,0.0,2.0,10.0,Active,0,0
474357,1856124,100086,-81,115697.925,112500,112500.0,112500.0,0.0,0.0,,0.0,0.0,112500.0,115697.925,115697.925,5.0,5,0.0,0.0,,Active,0,0
478533,2137382,100042,-64,91374.12,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,87108.885,91374.12,91374.12,0.0,0,0.0,0.0,20.0,Active,0,0
487721,2833536,100067,-72,43570.845,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,40966.38,43570.845,43570.845,0.0,0,0.0,0.0,14.0,Active,0,0
491031,1209367,100049,-13,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
491305,2628319,100082,-14,0.0,135000,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
491629,1843384,100011,-15,0.0,180000,0.0,0.0,0.0,0.0,0.0,563.355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Active,0,0
504739,2444847,100090,-23,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
511774,1843384,100011,-61,134885.97,180000,0.0,0.0,0.0,0.0,9000.0,9000.0,9000.0,130041.54,134885.97,134885.97,0.0,0,0.0,0.0,14.0,Active,0,0
512939,2038692,100013,-71,120186.585,157500,112500.0,112500.0,0.0,0.0,0.0,870.3,0.0,111629.7,120186.585,120186.585,4.0,4,0.0,0.0,13.0,Active,0,0
513629,1472630,100047,-12,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
520387,1489396,100006,-2,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
522701,1472630,100047,-4,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
523383,2833536,100067,-59,34066.575,45000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,32783.94,34066.575,34066.575,0.0,0,0.0,0.0,27.0,Active,0,0
535514,1595956,100100,-76,62038.305,90000,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,59738.445,62038.305,62038.305,0.0,0,0.0,0.0,18.0,Active,0,0
536772,2038692,100013,-66,39859.695,157500,0.0,0.0,0.0,0.0,7875.0,22500.0,22500.0,36660.285,39859.695,39859.695,0.0,0,0.0,0.0,18.0,Active,0,0
538219,2594025,100021,-9,0.0,675000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Completed,0,0
539000,1595956,100100,-29,44022.195,90000,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,39930.57,44022.195,44022.195,0.0,0,0.0,0.0,56.0,Active,1,1
552424,1914954,100028,-28,7560.09,225000,0.0,5021.01,0.0,5021.01,0.0,0.0,0.0,7204.59,7560.09,7560.09,0.0,2,0.0,2.0,13.0,Active,0,0
554658,1060558,100048,-24,129622.95,225000,0.0,17172.0,0.0,17172.0,5772.555,5850.0,5850.0,126772.785,130607.145,130607.145,0.0,1,0.0,1.0,6.0,Active,0,0
555862,1595956,100100,-33,62478.54,90000,0.0,0.0,0.0,0.0,4500.0,9000.0,9000.0,60130.665,62478.54,62478.54,0.0,0,0.0,0.0,52.0,Active,0,0
560573,1595956,100100,-52,45.855,90000,0.0,0.0,0.0,0.0,4500.0,33525.0,33525.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,Active,0,0
572895,1856124,100086,-60,86258.025,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,82516.005,86258.025,86258.025,0.0,0,0.0,0.0,21.0,Active,1,1
574944,2833536,100067,-18,42979.77,45000,0.0,9000.0,0.0,9000.0,2250.0,9000.0,9000.0,41690.655,42979.77,42979.77,0.0,1,0.0,1.0,48.0,Active,0,0
582994,2833536,100067,-12,522.495,45000,0.0,0.0,0.0,0.0,2250.0,45450.0,45450.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.0,Active,0,0
584549,1852787,100066,-8,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
584804,1489396,100006,-1,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
585507,1856124,100086,-36,16225.74,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,14092.065,16225.74,16225.74,0.0,0,0.0,0.0,45.0,Active,0,0
587197,2833536,100067,-36,0.0,45000,0.0,0.0,0.0,0.0,0.0,168.345,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,Active,0,0
599044,2444847,100090,-10,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
599789,1914954,100028,-14,8600.805,225000,0.0,8383.5,0.0,8383.5,9986.805,10125.0,10125.0,8245.305,8245.305,8245.305,0.0,3,0.0,3.0,27.0,Active,0,0
611194,1557583,100043,-26,373002.84,427500,0.0,0.0,0.0,0.0,18771.66,18900.0,18900.0,356533.335,373002.84,373002.84,0.0,0,0.0,0.0,6.0,Active,0,0
617886,1914954,100028,-1,37335.915,225000,0.0,22823.55,0.0,22823.55,11250.0,11250.0,11250.0,36270.675,36980.415,36980.415,0.0,4,0.0,4.0,35.0,Active,0,0
628154,1472630,100047,-37,0.0,450000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
630266,2038692,100013,-45,0.0,157500,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
634110,2628319,100082,-82,74139.885,135000,22500.0,22500.0,0.0,0.0,6750.0,27000.0,27000.0,70881.345,74139.885,74139.885,1.0,1,0.0,0.0,6.0,Active,0,0
640195,2628319,100082,-12,0.0,0,0.0,0.0,0.0,0.0,0.0,69.39,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
640543,1209367,100049,-4,87047.865,135000,0.0,0.0,0.0,0.0,4626.0,4725.0,193.275,85909.905,87047.865,87047.865,0.0,0,0.0,0.0,3.0,Active,0,0
641744,1557583,100043,-1,0.0,22500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
653027,2137382,100042,-13,0.0,45000,0.0,0.0,0.0,0.0,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
655566,1489396,100006,-5,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
658507,2038692,100013,-46,0.0,157500,0.0,0.0,0.0,0.0,0.0,274.32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,Active,0,0
671466,1060558,100048,-30,212013.0,225000,0.0,212013.0,0.0,212013.0,,,0.0,212013.0,212013.0,212013.0,0.0,2,0.0,2.0,,Active,0,0
683570,1794209,100050,-4,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
694458,1856124,100086,-71,100582.83,112500,0.0,0.0,0.0,0.0,5625.0,11250.0,11250.0,96586.2,100582.83,100582.83,0.0,0,0.0,0.0,10.0,Active,0,0
696466,1856124,100086,-50,58487.22,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,55411.92,58487.22,58487.22,0.0,0,0.0,0.0,31.0,Active,0,0
